Wavelength	a15
930	35.16532898
930.5	35.07411575
931	35.11711502
931.5	35.1934433
932	35.09883118
932.5	35.25123215
933	35.14981842
933.5	35.05054474
934	35.11594009
934.5	35.16619873
935	35.40075302
935.5	35.31661606
936	35.31350327
936.5	35.30550003
937	35.25821686
937.5	35.27890396
938	35.42182159
938.5	35.39673233
939	35.32629395
939.5	35.25229263
940	35.3361702
940.5	35.41254044
941	35.18545151
941.5	35.16194153
942	35.35891342
942.5	35.32961273
943	35.20042801
943.5	35.31198883
944	35.49402237
944.5	35.39713287
945	35.43012619
945.5	35.43566895
946	35.24689865
946.5	35.32319641
947	35.57128525
947.5	35.40581894
948	35.34482193
948.5	35.38319397
949	35.45824432
949.5	35.50658035
950	35.47695541
950.5	35.39001465
951	35.37989807
951.5	35.59802628
952	35.43392181
952.5	35.49738312
953	35.5923996
953.5	35.49110413
954	35.55313492
954.5	35.62331009
955	35.57731628
955.5	35.58599091
956	35.62618637
956.5	35.50637817
957	35.55285263
957.5	35.73222351
958	35.71827698
958.5	35.63117218
959	35.62714005
959.5	35.6688652
960	35.64611435
960.5	35.72173309
961	35.72416687
961.5	35.75457001
962	35.71159363
962.5	35.75094604
963	35.67938995
963.5	35.67144394
964	35.76147079
964.5	35.90077972
965	35.71113586
965.5	35.77835464
966	35.81926346
966.5	35.84653854
967	35.7663765
967.5	35.89677048
968	35.8093071
968.5	35.91950989
969	35.96884537
969.5	35.69965744
970	35.95976639
970.5	35.80873489
971	36.23177338
971.5	35.8705368
972	35.95493317
972.5	36.00107193
973	35.88004684
973.5	35.94167328
974	35.90132141
974.5	35.92709351
975	35.98269653
975.5	35.95410156
976	35.96680069
976.5	36.10517502
977	36.0202446
977.5	36.04110336
978	36.07614517
978.5	36.00321198
979	36.06752396
979.5	36.05132675
980	35.99656296
980.5	35.8694725
981	36.20225525
981.5	36.11947632
982	36.1606369
982.5	36.04360962
983	36.08165741
983.5	36.03049469
984	36.08636093
984.5	36.19703674
985	36.14456177
985.5	36.10508728
986	36.23266602
986.5	36.18899536
987	36.27451324
987.5	36.29863739
988	36.18961334
988.5	36.2216568
989	36.17301941
989.5	36.1911087
990	36.24141693
990.5	36.25461578
991	36.23558807
991.5	36.30014038
992	36.2949295
992.5	36.22779083
993	36.30106354
993.5	36.33021927
994	36.31468582
994.5	36.31496811
995	36.30321503
995.5	36.30833435
996	36.35725403
996.5	36.25914001
997	36.35388565
997.5	36.41495132
998	36.34838867
998.5	36.2600975
999	36.46246338
999.5	36.44623566
1000	36.2987442
1000.5	36.45294571
1001	36.33999252
1001.5	36.39797211
1002	36.43270111
1002.5	36.37220383
1003	36.50251007
1003.5	36.38557053
1004	36.50496292
1004.5	36.37135696
1005	36.53739929
1005.5	36.47413635
1006	36.4959259
1006.5	36.50400925
1007	36.51265335
1007.5	36.41143036
1008	36.49776459
1008.5	36.53636169
1009	36.54628372
1009.5	36.56915283
1010	36.61878586
1010.5	36.58216095
1011	36.51980972
1011.5	36.55878448
1012	36.5364151
1012.5	36.49637222
1013	36.63316727
1013.5	36.56451416
1014	36.61697769
1014.5	36.55052948
1015	36.61062241
1015.5	36.55591583
1016	36.5545845
1016.5	36.62003708
1017	36.5894165
1017.5	36.60435486
1018	36.62192917
1018.5	36.66244888
1019	36.72787857
1019.5	36.641922
1020	36.63541412
1020.5	36.6710434
1021	36.66457748
1021.5	36.68527222
1022	36.75016403
1022.5	36.70537567
1023	36.70438766
1023.5	36.75929642
1024	36.7141571
1024.5	36.71537781
1025	36.74501038
1025.5	36.69485092
1026	36.70760345
1026.5	36.7357254
1027	36.82308197
1027.5	36.74642563
1028	36.75209427
1028.5	36.73626328
1029	36.81245804
